Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n_x,median_ntail,Not_Scale_Free,prob_a,n_nodes,iteration,n_y,alpha,xmin,ntail,Lpl,ppl,dexp,dln,dstrexp,dplwc,fp_gml
False,False,False,False,False,2.620000000000001,8000.0,1561.0,True,0.01,8000,1,8000.0,2.620000000000001,3.0,1561.0,-3267.981661739489,0.001,1.0,-1.0,-1.0,-1.0,degree_8000_prob_a_0.01_iteration_1.csv
False,False,True,True,False,2.740000000000001,8000.0,957.0,False,0.01,8000,10,8000.0,2.740000000000001,4.0,957.0,-2197.7948623321395,0.101,1.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_10.csv
True,True,True,True,True,2.8200000000000016,8000.0,198.0,False,0.01,8000,11,8000.0,2.8200000000000016,9.0,198.0,-612.4058556218264,0.455,1.0,0.0,0.0,0.0,degree_8000_prob_a_0.01_iteration_11.csv
False,False,True,True,False,2.8800000000000017,8000.0,470.0,False,0.01,8000,12,8000.0,2.8800000000000017,6.0,470.0,-1229.5108967567944,0.62,1.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_12.csv
False,False,True,True,False,2.680000000000001,8000.0,1609.0,False,0.01,8000,13,8000.0,2.680000000000001,3.0,1609.0,-3275.610250555322,0.324,1.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_13.csv
False,False,False,False,False,2.6300000000000017,8000.0,1627.0,True,0.01,8000,14,8000.0,2.6300000000000017,3.0,1627.0,-3385.8098823176424,0.0,1.0,-1.0,-1.0,-1.0,degree_8000_prob_a_0.01_iteration_14.csv
False,False,True,True,False,2.9000000000000017,8000.0,474.0,False,0.01,8000,15,8000.0,2.9000000000000017,6.0,474.0,-1232.742543074109,0.962,2.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_15.csv
False,False,True,True,False,2.8500000000000014,8000.0,678.0,False,0.01,8000,16,8000.0,2.8500000000000014,5.0,678.0,-1660.229866475739,0.115,1.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_16.csv
False,False,True,True,False,2.650000000000001,8000.0,1548.0,False,0.01,8000,17,8000.0,2.650000000000001,3.0,1548.0,-3197.932935074208,0.212,1.0,0.0,-1.0,-1.0,degree_8000_prob_a_0.01_iteration_17.csv
False,False,True,True,False,2.8800000000000017,8000.0,493.0,False,0.01,8000,18,8000.0,2.8800000000000017,6.0,493.0,-1291.4700970744132,0.102,1.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_18.csv
False,False,True,True,False,2.830000000000002,8000.0,641.0,False,0.01,8000,19,8000.0,2.830000000000002,5.0,641.0,-1578.9770883515507,0.61,1.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_19.csv
False,False,False,False,False,2.7100000000000017,8000.0,996.0,True,0.01,8000,2,8000.0,2.7100000000000017,4.0,996.0,-2319.810301667228,0.1,2.0,0.0,-1.0,0.0,degree_8000_prob_a_0.01_iteration_2.csv
